0.75;1;325;0;70;11111;-2;-2;-1;11111;-1;-1;-0;0;2;0
0.25;1;325;0;30;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
0.175;1;325;0;10;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
0;0;30;180;999;11111;-2;-2;-1;11111;0.75;-1;0;3;3;0
1;1;-1;-1;-1;11111;-0.8;0.22;153;11111;-1;-1;0;0;2;0
0.5;1;90;180;23;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
0;0;30;180;999;11111;-2;-2;-1;11111;0.075;-1;0;0;2;0
0;0;-1;-1;-1;11111;0;-0.13;175;11111;-1;-1;0;0;2;0
0;0;30;180;999;11111;-2;-2;-1;11111;2;-1;0;1;1;1
1;1;-1;-1;-1;11111;0.58;0.58;316;11111;-1;-1;0;0;2;0
0;0;30;0;999;11111;-2;-2;-1;11111;2.25;-1;0;12;2;0
0;0;30;0;999;11111;-2;-2;-1;11111;2;-1;0;12;3;0
0;0;30;0;999;11111;-2;-2;-1;11111;-1;-1;0;12;2;0
